,text,user,location
0, Ακριβώς αυτό που μας έλειπε. Από το Science ,xrisolora,"Athens, Greece"
1," Να μην είστε κοπάδι. Όταν ακούτε ""σήμερα έχουμε Χ κρούσματα"" από τα #ΜΜΕ,  κάντε μια επίσκεψη στη σελίδα …",Spartakos_Thess,"Θεσσαλονίκη, Ελλάς"
2,"Να μην είστε κοπάδι. Όταν ακούτε ""σήμερα έχουμε Χ κρούσματα"" από τα #ΜΜΕ,  κάντε μια επίσκεψη στη σελίδα… ",KonKarageorgiou,Greece
3,Τροφή για σκέψη και αναζήτηση της Πραγματικότητας. Είναι ότι φαίνεται; #coronavirus #COVID19 ,symsoum2,
4,Και επειδή πολύ συχνά τώρα τελευταία μας έρχεται ως παράδειγμα τ Ισραήλ από κάποιους  ας δούμε το επίσημο ανακοινωθ… ,1_1_9,ΕΛΛΑΣ-HELLAS-ЕЛЛАС
5,  Για πες μου τα συμπερασματα σου και σκέψου κάτι αν θα υπήρρχαβ εθελοντές για μι… ,Karavanapalia1,
6,Ο αριθμός των κρουσμάτων έχει να κάνει με τα Τεστ! Όσο πιο πολλά τεστ τόσο πιο πολλά κρούσματα και τούμπαλιν! Δυστυ… ,ellada_fix,
7,"Πάνω από 112,6 εκ. τα κρούσματα COVID-19 διεθνώς #World #coronavirus ",briefcy,Cyprus
8,Εδώ μπορείτε να κάνετε δωρεάν rapid test την Τετάρτη 24/2 #Cyprus #coronavirus ,briefcy,Cyprus
9,Κομισιόν: Ο στόχος του 70% θα επιτευχθεί #EU #coronavirus #Astrazeneca ,briefcy,Cyprus
10,  Πως να κολλήσεις κάτι  που δεν έχεις σε αλλον; Και επίσης  ,goufay,"korydallos,Greece"
11, νέο #lockdown: Πώς και γιατί «μαγείρεψαν» τα νούμερα των κρουσμάτων.#κανονικοτητα#ΙατρικηΔικτατορια#…,VAR19339148,
12,Κορωνοϊός: Σφίγγει ο κλοιός για την Αττική - Ποιες περιοχές σηκώνουν το βαρύ φορτίο; #COVID19 #COVID19gr… ,TomorrowNEWS4,"Attiki, Greece"
13,"Εμβολιάστηκε εκτός σειράς ο Περιφερειάρχης Νοτίου Αιγαίου, Χατζημάρκος (video) ΑΝ ΕΙΣΑΙ ΚΑΙ ΠΑΠΑΣ ΜΕ ΤΗΝ ΑΡΑΔΑ ΣΟΥ… ",kostisbitsios,Greece
14," Δείτε πρώτα ποιός υπογράφει την αφίσα και χέστε κατάμουτρα το CDC και τους ντόπιους ""επίδοξους CDCδες""...…",mel75801,
15,"Δείτε πρώτα ποιός υπογράφει την αφίσα και χέστε κατάμουτρα το CDC και τους ντόπιους ""επίδοξους CDCδες""...… ",StavrosKyriazis,
16,"Ξεστραβωθείτε εδώ, οι αγράμματοι... ",StavrosKyriazis,
17,"  Άλλωστε, χέστηκα τι λέει ο κάθε Fauci! Ξεστραβωθείτε εδώ, οι αγράμματοι...… ",StavrosKyriazis,
18, Ακριβώς αυτό που μας έλειπε. Από το Science ,AKaragkounis,"Κεντρική Μακεδονία, GR"
19,"Μέσα σε μία εβδομάδα, από 16/2 μέχρι και σήμερα 23/2, καταγράφηκαν 743  κρούσματα κορωνοϊού σε άτομα ηλικίας μέχρι… ",til_kountouris,"Athens, Greece"
20,Συνεχίζουμε δυναμικά. ,JeanCloudKriket,"Athens, Greece"
21, Ακριβώς αυτό που μας έλειπε. Από το Science ,ProkopisDoukas,"Athens, Greece"
22, Ακριβώς αυτό που μας έλειπε. Από το Science ,KarmaKatna,
23,Ακριβώς αυτό που μας έλειπε. Από το Science ,kgiannakidis,"Athens, Greece"
24," Όσο η δική μας Επιτροπή ονειρεύεται ανοικτά #σχολεια ""ως πρώτη προτεραιότητα"", μια νέα επικίνδυνη μετάλλαξη από την Καλ…",vicky_dritsoula,
25,"    Και για να σου αποδείξω ότι ενημερώνεσαι από ""πηγές της πλάκας"".… ",StavrosKyriazis,
26,"Οι Βρετανοί έχουν και αυτοί το δικό τους σύστημα εποπτείας για τις παρενέργειες εμβολίων, μέσα από το εθνικό σύστημ… ",Dietis_Lab_UCY,Cyprus
27,"    Σίγουρο δεν είναι τίποτα, προφανώς. ",chaosembryo,Ελλάς
28," Όσο η δική μας Επιτροπή ονειρεύεται ανοικτά #σχολεια ""ως πρώτη προτεραιότητα"", μια νέα επικίνδυνη μετάλλαξη από την Καλ…",dr_Gr_House,Greece
29,"Όσο η δική μας Επιτροπή ονειρεύεται ανοικτά #σχολεια ""ως πρώτη προτεραιότητα"", μια νέα επικίνδυνη μετάλλαξη από την… ",GeorgiosMatsos,Greece
30," ~The plot thickens~Από εκεί που η ΕΕ ανάμενε 180 εκατομμύρια δόσεις από την AstraZeneca στο δεύτερο τρίμηνο του έτους, εκπρ…",mystirios70,Θεσσαλονίκη μάλλον...
31, ΜΟΝΟ ΜΕ ΠΙΣΤΟΠΟΙΗΤΙΚΟ ΕΜΒΟΛΙΑΣΜΟΥ Η ΕΙΣΟΔΟΣ ΣΕ ΕΣΤΙΑΤΟΡΙΑ ΚΑΙ ΜΠΑΡ ΠΡΟΤΕΙΝΟΥΝ ΟΙ ΕΣΤΙΑΤΟΡΕΣ ΣΤΗΝ ΕΛΒΕΤΙΑ   #Covid_19 #COV…,PANGKAKISTOS,
32,~The plot thickens~Από εκεί που η ΕΕ ανάμενε 180 εκατομμύρια δόσεις από την AstraZeneca στο δεύτερο τρίμηνο του έτ… ,goranitis,
33, Πως να κολλήσεις κάτι  που δεν έχεις σε αλλον; Και επίσης  ,EviEvakii,Greece - New York
34, Ώπα έχουμε νικητή ...!!!! #coronavirus #Covid_19 ,WPuKA0gpQfbx12F,"Αίγιο, Ελλάς"
35, Ώπα έχουμε νικητή ...!!!! #coronavirus #Covid_19 ,_stevie,
36,Δεκαέξι νέα περιστατικά κορωνοϊού ανακοινώθηκαν στα κατεχόμενα #coronavirus ,briefcy,Cyprus
37,"O κωδικός για τα ψώνια θα σου επιτρέπει να είσαι έξω για τρεις ώρες. Αν έχεις 2  κινητά, τις κάνεις 6.Κολλάς και έ… ",SDXZV,HⲈRⲈⲦICⲀ FILOSOFIⲀ 
38,Rapid tests (23/2): Που εντοπίστηκαν τα 83 περιστατικά (ΠΙΝΑΚΑΣ) #Cyprus #coronavirus ,briefcy,Cyprus
39,"Η  ανακοίνωσε ότι ζήτησε από 6 χώρες μέλη (Βέλγιο, Γερμανία κ.α.), να δώσουν εξηγήσεις εντός 10 ημερώ… ",amna_news,"Athens, Greece"
40,Κύπρος: Στους 78 οι νοσηλευόμενοι με κορωνοϊό / Σοβαρά οι 25 #Cyprus #coronavirus ,briefcy,Cyprus
41,Γνωρίζει κάποιος γιατί επιτρέπεται να παίζει κάποιος padel με τέσσερις παίκτες αλλά όχι κάποιο άλλο άθλημα; #coronavirus,zoubermann,
42,Ο κορωνοϊός είναι μια ακόμη «υπενθύμιση» του ρατσισμού που χαρακτηρίζει το υγειονομικό σύστημα των ΗΠΑ  #κορωνοϊος… ,bankingnewsgr,"Athens, Greece"
43,"Κύπρος / Κορωνοϊός (23/2): 176 νέα κρούσματα από 27,762 τεστ #Cyprus #coronavirus ",briefcy,Cyprus
44,  Η μόνη χώρα που τα πάει άψογα είναι η Βρετανία και η Ρωσία που παράγουν εμβόλια.Ούτε η… ,SotirisSakkas,"London, England"
45, 20 ΚΡΟΥΣΜΑΤΑ ΣΕ ΙΩΑΝΝΙΝΑ 8 ΣΤΗΝ ΠΡΕΒΕΖΑ ΓΡΑΨΑΝΕ ΤΑ ΜΕΤΡΑ ΣΤΑ ΠΑΠΑΡΙΑ ΤΟΥΣ...ΚΑΙ ΤΩΡΑ ΑΡΧΙΖΟΥΝ ΤΑ ΟΡΓΑΝΑ   #Covid_19 #C…,PANGKAKISTOS,
46,"#Ιταλία 🇮🇹#Covid_19 : 13.314 νέα κρούσματα, 356 θάνατοι Τρίτο κύμα της πανδημίας στη #Μπρέσια… ",amna_news,"Athens, Greece"
47,Έκρηξη κρουσμάτων - Αυξάνεται η πίεση στο #ΕΣΥ #κρουσματα #κορονοϊός #coronavirus #COVID19 #Covid_19 ,smaniatis1,"Gerakas, Athens, Greece"
48,20 ΚΡΟΥΣΜΑΤΑ ΣΕ ΙΩΑΝΝΙΝΑ 8 ΣΤΗΝ ΠΡΕΒΕΖΑ ΓΡΑΨΑΝΕ ΤΑ ΜΕΤΡΑ ΣΤΑ ΠΑΠΑΡΙΑ ΤΟΥΣ...ΚΑΙ ΤΩΡΑ ΑΡΧΙΖΟΥΝ ΤΑ ΟΡΓΑΝΑ… ,PANGKAKISTOS,
49,ΜΟΝΟ ΜΕ ΠΙΣΤΟΠΟΙΗΤΙΚΟ ΕΜΒΟΛΙΑΣΜΟΥ Η ΕΙΣΟΔΟΣ ΣΕ ΕΣΤΙΑΤΟΡΙΑ ΚΑΙ ΜΠΑΡ ΠΡΟΤΕΙΝΟΥΝ ΟΙ ΕΣΤΙΑΤΟΡΕΣ ΣΤΗΝ ΕΛΒΕΤΙΑ… ,PANGKAKISTOS,
