,text,user,location
0, Από επιτυχία σε επιτυχία το γουρλό κι η συμμορία του #κορονοιος  #ΝΔ_ξεφτιλες ,lianalk3,
1,"Καινουργια μετρα για #κορονοιος στην Ολλανδια. Τα μαγαζια ανοιχτα, μονο με ραντεβου, κλεισμενο πριν 4 ωρες. Προφανω… ",2Trillian,Nederland
2,"Κορονοϊός νέα κρούσματα σήμερα: Εμβολιασμός 60, 64 ραντεβού- Σεισμός ΤΩΡΑ Ειδησεις ",ekklisiaonline,Greece
3,Κορονοϊός: Πιο μεταδοτική η μετάλλαξη από την Καλιφόρνια - Τι δείχνουν νέες μελέτες … ,KapaNews,Ελλάδα
4, Μας μπήκε πολύ καλά το 21...- καταγγελίες για βιασμούς- καταστροφές από χιονοπτώσεις- κορονοϊός- παραταση lockdown...2…,KammenosXiros,Καμμένο Βασίλειο
5, Βρειτε εδώ το Link για την έκτακτη Συνέντευξη Τύπου για τον θάνατο του συναδέλφου μας και τα δεκάδες #κρουσματα σε καταστήματα…,oikodomos60,Παγκράτι 
6,Κορονοϊός Ουγγαρία: H πρώτη χώρα στην Ευρώπη που χορηγεί το κινεζικό εμβόλιο [vid]  ,prisma916,ΒΟΡΕΙΟΔΥΤΙΚΗ ΕΛΛΑΔΑ
7,Σούπερ μάρκετ: Η πρόταση της Αθηνάς Λινού για άνοιγμα στις 6 το πρωί#λοκνταουν3 #λοκνταουν #κορονοιος,newsbeast,"Athens, Greece"
8, Δύο τυχαίες εικονες#2randompics#κορονοϊός ,46spiros,
9," Και βγαίνει λέει ο Χαρδαλιας και λέει Κορονοιος είναι ένας επικίνδυνος ιός,μας εξαπάτησε με το βαθύ υποκριτικο του ταλ…",Chris28004624,
10, Σήμερα ανακοινώθηκαν πάνω από 2000 #κρουσματα Καθόλου περίεργο όταν ο  αυτές τις μέρες αναφέρεται σε ραγδαία αύξηση…,GrLeMarX,
11, Μας μπήκε πολύ καλά το 21...- καταγγελίες για βιασμούς- καταστροφές από χιονοπτώσεις- κορονοϊός- παραταση lockdown...2…,SirPrasinos,Καβάλα 🏇 Insta: thanos_prs 📸
12,Κορονοϊός - Παυλάκης: Δεν είναι lockdown αυτό που έχει η Αττική - «Τρέλα» το άνοιγμα της αγοράς και των σχολείων ,ReaderGr,"Athens, Greece"
13, Κορονοϊός - Θωμαΐδης: Παρακινδυνευμένη η άρση του lockdown πριν από τις 15 Μαρτίου - ΒΙΝΤΕΟ ,AXristodoulidou,Αθηνα
14,"Το συμβόλαιο με την #AstraZeneca, που διέρρευσε πρόσφατα, αναφέρει πως η εταιρία έχει δεσμευτεί να παραδώσει 180 εκ… ",VradiniGr2,Αθήνα
15,Κορονοϊός - Θωμαΐδης: Παρακινδυνευμένη η άρση του lockdown πριν από τις 15 Μαρτίου - ΒΙΝΤΕΟ ,enikos_gr,Greece
16,"Το αφήγημα της κυβέρνησης περί θωράκισης του ΕΣΥ, με τις «χιλιάδες προσλήψεις» και τις «εκατοντάδες ΜΕΘ» για ακόμα… ",documentonews,Greece
17," Τι πρέπει να κάνουμε δλδ για να μην έχουμε μόνιμα νεύρα; Μια όλο αυτό που συμβαίνει με τους βιασμούς, μια ο κορονοϊος, μια…",Glikatzou,"Θεσσαλονίκη, Ελλάς"
18,το ένα εγκλημα πίσω απο το άλλο απ την ακροδεξια κυβέρνηση #κορονοιος  #χρεωκοπία  #αστυνομική_βια #παιδεραστια #Κουφοντινας #προσφυγικό,enraptured_days,
19," Μια απλή ανάγνωση&amp;ερμηνεία του ""αριθμού ημερήσιων κρουσμάτων #κορονοϊού"".Άντε, διότι πολύ κράτησε η τρομοκρατία και η…",egefalou,
20, Δύο τυχαίες εικονες#2randompics#κορονοϊός ,LeftFantasy,
21,Επιστήμονες πιστεύουν ότι ο #κορονοϊός έφτασε νωρίτ...  ,eXofitsio,Greece
22, Ευτυχώς π γύρισε ο Ερντογάν με τ παπόρια του στο Αιγαίο κ υπάρχει μια εναλλαγή στα δελτία διότι είχε αρχίζει να κουράζει…,myrtozax,Θεσσαλονικη
23, Βρειτε εδώ το Link για την έκτακτη Συνέντευξη Τύπου για τον θάνατο του συναδέλφου μας και τα δεκάδες #κρουσματα σε καταστήματα…,lianalk3,
24,#Κορονοϊός: ΜΕΘ τέλος στην Αττική – Δραματική κατάσ... ,eXofitsio,Greece
25,Κορονοϊός: Πιο μεταδοτική η μετάλλαξη από την Καλιφόρνια - Τι δείχνουν νέες μελέτες ,enikos_gr,Greece
26, 💉 32.214 εμβολιασμοί πραγματοποιήθηκαν σήμερα.💉💉 257.476 πολίτες έχουν λάβει 2 δόσεις συνολικά (2.90 % του ενήλικου…,gkmkf_on,
27," Xρυσοχοΐδης: ""Ο κορονοϊός δε μεταδίδεται έξω""",PorscheX16,"Άνω Σύρος, Ελλάς"
28, Μας μπήκε πολύ καλά το 21...- καταγγελίες για βιασμούς- καταστροφές από χιονοπτώσεις- κορονοϊός- παραταση lockdown...2…,vankir9,"Θεσσαλονίκη, Ελλάς"
29, LIVE ΤΩΡΑ Η ΣΥΝΕΝΤΕΥΞΗ ΤΥΠΟΥ ΤΩΝ ΣΩΜΑΤΕΙΩΝ ΣΤΟ ΕΜΠΟΡΙΟ ΜΕ ΑΦΟΡΜΗ ΤΟ ΘΑΝΑΤΟ ΤΟΥ ΣΥΝΑΔΕΛΦΟΥ #κορονοιος #κρουσματα…,ChPaixnidiaris,"Αριδαία, Ελλάς"
30,Κορονοϊός: Νέα πιο μεταδοτική μετάλλαξη εμφανίστηκε στην Καλιφόρνια ,BusinessDaily9,Athens
31," Στις 10πμ η έκτακτη συνέντευξη τύπου των σωματείων του εμπορίου στην Αττική με αφορμή το θάνατο του συνάδελφου, ζωντανά στο…",ChPaixnidiaris,"Αριδαία, Ελλάς"
32,LIVE ΤΩΡΑ Η ΣΥΝΕΝΤΕΥΞΗ ΤΥΠΟΥ ΤΩΝ ΣΩΜΑΤΕΙΩΝ ΣΤΟ ΕΜΠΟΡΙΟ ΜΕ ΑΦΟΡΜΗ ΤΟ ΘΑΝΑΤΟ ΤΟΥ ΣΥΝΑΔΕΛΦΟΥ #κορονοιος #κρουσματα,PAMEhellas,
33,#Ευρωπαϊκό_Συμβούλιο #κορονοϊός  μέσω ,EnetpressG,
34,#ΚΟΥΓΙΑΣ #κορονοιος #Greece #ΚΟΡΟΪΔΟΑΠΑΤΗ📛Ακούστε με απλά λόγια το στήσιμο της Απάτης του κοροϊδοϊού✅Μαριάννα Ε… ,ArchelaosM,
35, Να βγει ο Κικίλιας και να πει πως τον εξαπάτησε ο κορονοϊός. Μην τονε ζαλίζουνε τον άνθρωπο που θα πεθάνει ο κόσμος εκτός…,xGgSTrCgqlTCSW3,
36, Να βγει ο Κικίλιας και να πει πως τον εξαπάτησε ο κορονοϊός. Μην τονε ζαλίζουνε τον άνθρωπο που θα πεθάνει ο κόσμος εκτός…,a_leftis,
37," Στις 10πμ η έκτακτη συνέντευξη τύπου των σωματείων του εμπορίου στην Αττική με αφορμή το θάνατο του συνάδελφου, ζωντανά στο…",PAN_OMOS_LOG_,"Κάνιγγος 27, Αθήνα"
38,Μαλάκα είναι εκνευριστικά ανίκανοι. Σκοντάφτουν και στο ίσιωμα. #ΝΔ_ξεφτιλες #νδ_ρομπες #κορονοιος ,combinegr,Citadel
39,Κορονοϊός – Θωμαΐδης: Παρακινδυνευμένη η άρση του lockdown πριν τις 15 Μαρτίου ,Difernews,"Athens, Greece"
40," Να μην είστε κοπάδι. Όταν ακούτε ""σήμερα έχουμε Χ κρούσματα"" από τα #ΜΜΕ,  κάντε μια επίσκεψη στη σελίδα …",Spartakos_Thess,"Θεσσαλονίκη, Ελλάς"
41,Μας μπήκε πολύ καλά το 21...- καταγγελίες για βιασμούς- καταστροφές από χιονοπτώσεις- κορονοϊός- παραταση lockd… ,tentympois,
42,Αυτά συμβαίνουν στην Σουηδία! Η δημοκρατία απειλείται ανοιχτά και χωρίς ντροπή απο δημόσιους λειτουργούς στο σημείο… ,KarampelasD,Stockholm
43,Από την μία αύξηση κρουσμάτων από την άλλη θα ανοίξουν τα μαγαζια..Από την μία παράταση lockdownΑπό την άλλη νέος… ,Zoe20182970,
44," Στις 10πμ η έκτακτη συνέντευξη τύπου των σωματείων του εμπορίου στην Αττική με αφορμή το θάνατο του συνάδελφου, ζωντανά στο…",filio_magenta,
45,"Δηλαδή, εδώ μας λένε για συνέχεια  lockdown κ μαθαίνω θα βγουν εκπομπές που θα κάνουν πάρτι; Αλήθειααααααααα;Και τ… ",MissAngelikaki,Στον Κόσμο
46,Κορονοϊός – Αυστρία: 37 νέοι θάνατοι – 450.000 συνολικά τα κρούσματα -  ,StartmediaCorfu,"Κέρκυρα, Ελλάς"
47, Βρειτε εδώ το Link για την έκτακτη Συνέντευξη Τύπου για τον θάνατο του συναδέλφου μας και τα δεκάδες #κρουσματα σε καταστήματα…,nasiabil,Greece
48," Στις 10πμ η έκτακτη συνέντευξη τύπου των σωματείων του εμπορίου στην Αττική με αφορμή το θάνατο του συνάδελφου, ζωντανά στο…",giannischa1951,Αιγάλεω
49,"Να μην είστε κοπάδι. Όταν ακούτε ""σήμερα έχουμε Χ κρούσματα"" από τα #ΜΜΕ,  κάντε μια επίσκεψη στη σελίδα… ",KonKarageorgiou,Greece
50,Κορονοϊός: Βρήκαν πώς συνδέεται η εξάπλωση της COVID-19 με την εξωτερική θερμοκρασία -  ,StartmediaCorfu,"Κέρκυρα, Ελλάς"
51," Στις 10πμ η έκτακτη συνέντευξη τύπου των σωματείων του εμπορίου στην Αττική με αφορμή το θάνατο του συνάδελφου, ζωντανά στο…",blacktom1961,Mytilene
52,"ΚΟΡΟΝΟΪΟΣΔεκάδες κρούσματασε ιδιωτικές κλινικές, γηροκομεία και φυλακές#πανδημια #κορονοιος… ",giannischa1951,Αιγάλεω
53, Δύο τυχαίες εικονες#2randompics#κορονοϊός ,gidokatastasi,
54,"Στις 10πμ η έκτακτη συνέντευξη τύπου των σωματείων του εμπορίου στην Αττική με αφορμή το θάνατο του συνάδελφου, ζων… ",PAMEhellas,
55, Ευτυχώς π γύρισε ο Ερντογάν με τ παπόρια του στο Αιγαίο κ υπάρχει μια εναλλαγή στα δελτία διότι είχε αρχίζει να κουράζει…,sfigka,
56," Τι πρέπει να κάνουμε δλδ για να μην έχουμε μόνιμα νεύρα; Μια όλο αυτό που συμβαίνει με τους βιασμούς, μια ο κορονοϊος, μια…",SapereAude90,
57,Κορονοϊός: Διπλάσιο ιικό φορτίο η μετάλλαξη της Καλιφόρνια – «Θερίζει» στις ΗΠΑ ,DIOGENISCHARALA,KAVALA
58,"  Μετά από όλα όσα συμβαίνουν τελευταία από τη φασιστερά (κουφοντίνας, κορονοιός, λιγδιάρης κλπ), όποιος από…",SPothitos,PIRAEUS
59,Κορονοϊός - Εξαδάκτυλος: «Μέχρι το τέλος του μήνα περίπου ένα εκατ. Έλληνες θα έχουν ανοσία» (video) ,GreekWebTV_Live,
60,"Τι πρέπει να κάνουμε δλδ για να μην έχουμε μόνιμα νεύρα; Μια όλο αυτό που συμβαίνει με τους βιασμούς, μια ο κορονοϊ… ",hkatsarola,
61,Πουτανα όλα σε χρόνο ρεκορ. Να περάσει να πάρει το βραβείο του άχρηστος. #Μητσοτακης #Μενδωνη #ΑΠΘ #Λιγδανης… ,Marmaras_Dim,
62,Κορονοϊός: Η μετάλλαξη από την Καλιφόρνια είναι πιο μεταδοτική  ,Sofokleousin,Greece
63,Κορονοϊός: Πιο μεταδοτική η «μετάλλαξη της Καλιφόρνια» – Άγνωστο αν καλύπτεται από τα εμβόλια ,tromaktiko_blog,Athens
64,Κορονοϊός: Η Κομισιόν ζήτησε εξηγήσεις από έξι χώρες για τους περιορισμούς στην κυκλοφορία - OTA VOICE ,OTAVOICE2,"Attiki, Greece"
65, #Ριζοσπάστης24/2/2021#κυβερνηση_Μητσοτακη #απαγορευση_συναθροισεων#foitites_ksana #πανεπιστημια #πανδημια #κορονοι…,Papnikias,Αθήνα
66, Κορονοϊός: Η ανάλυση για τα κρούσματα της Τρίτης (23/02/2021) - Οι εκτιμήσεις για τις επόμενες ημέρες ,NChatzinikolaou,Athens-Greece
67," Κορονοϊός: Στο ""κόκκινο"" τα νοσοκομεία της Αττικής - Μόλις 13 κλίνες διαθέσιμες στις ΜΕΘ ",NChatzinikolaou,Athens-Greece
68,Διαφαίνονται ενδείξεις πως η εν λόγω παραλλαγή πιθανώς είναι καλύτερη στο να διαφεύγει από το ανοσοποιητικό σύστημα… ,Kouti_Pandoras,Athens
69,Διαφαίνονται ενδείξεις πως η εν λόγω παραλλαγή πιθανώς είναι καλύτερη στο να διαφεύγει από το ανοσοποιητικό σύστημα… ,hotdoc_mag,
70,Κορονοϊός: Ξεκάθαρη θέση της Λινού – «Διπλή μάσκα και σε χώρους δουλειάς» ,tromaktiko_blog,Athens
