,text,user,location
0,Σε 2 μέρες κλείνουμε 1 χρόνο από το πρώτο κρούσμα κορωνοϊού στην Ελλάδα!!! ,menacius,"Earth, MilkyWay, VirgoCluster"
1, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,kostasLtd,"Athens,Greece"
2,Πύργος: Επιβεβαίωση για το κρούσμα στο Δικαστικό Μέγαρο - Ανησυχία για τη διάδοση του κορωνοϊού… ,ilialive_gr,ilia greece
3,"  Με την απλή μέθοδο των τριών λοιπόν, αφού σε 55χιλ τέστ έχουμε 2400 κρούσματα, στα 10 εκατ πληθυσμού, έχουμε…",Jamakos1,
4,"Εγώ ΗΡΕΜΑ ρωτάω:""Αν στην U17 της ΑΕΛ υπάρξει κρούσμα παιδεραστίας, τί γίνεται;""",aneprokopogomar,Ελλάς
5," Με την απλή μέθοδο των τριών λοιπόν, αφού σε 55χιλ τέστ έχουμε 2400 κρούσματα, στα 10 εκατ πληθυσμού,… ",gBerdousis,
6,"Κλειστό για δεκαήμερο το 2ο Δημ. Σχολείο Ρόδου, μετά το κρούσμα σε μαθήτρια ",Tonis_skyrodos,
7,Κρούσμα covid στο 8ο Δημοτικό Σχολείο Τρίπολης -  ,drt915,Τρίπολη 
8,Ενας χρόνος από το πρώτο κρούσμα στην Ευρώπη και η Ελλάδα ασφυκτιά με την οικονομία να χάνει 100 εκατ.ευρώ κάθε μέρα ,geoathana,
9,Κρούσμα κορωνοϊού στο 15ο Γυμνάσιο ΛάρισαςΗ Ενημέρωση στη Λάρισα και τη Θεσσαλία στο… ,LarisaCityNews,"Λαρισσός, Ελλάς"
10,"κυβερνήσεις που έχουν ένα κρουσμα παραπάνω και κάνουν αμέσως lockdown,αλλά μόλις πέσουν τόσο τα κρούσματα όσο κ οι… ",daizycrazy,
11,Κρούσμα κορωνοϊού στο 15ο Γυμνάσιο ΛάρισαςΠερισσοτερα: Η Ενημέρωση από το Κέντρο της Ελλά… ,i_thessaly,Θεσσαλία
12,Πού καταγράφηκε το χθεσινό κρούσμα στην Καστοριά ,fouitgr,kastoria
13,Ρέθυμνο - Κρούσμα κορονοϊού στο τμήμα δοκίμων αστυφυλάκων #CreteDoc #Ειδήσεις ,CreteDoc,"Crete , Greece"
14,Είναι δυνατόν να μην μεταδίδεται ο ιός με τα παιδιά;αφού τόσα σχολεία ξεκίνησαν με ένα κρούσμα έκλεισε μια τάξη κ ξ… ,DNafplio,
15, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,tolisv,Athens Greece
16,  Δεν γίνονται μόνο τυχαίοι και δειγματοληπτικοί έλεγχοι - είναι και οι έλεγχοι που γίνοντ… ,chrysos_michael,Ελλάς
17,ΠΕΝΕΝ: Κρούσμα Κορονοϊού στο Νήσος Μύκονος  μέσω του χρήστη ,IkariakiRadio,Ikaria 
18,Κρούσμα κορωνοϊού Δημοτικού Υπαλλήλου ΚΕΠ | NewsPistol - Ειδήσεις με υπογραφή. Χάρης Λεμπιδάκης. ,HarisLebidakis,journalism - Newspistol.gr 
19, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,geokalp,
20,Κρούσμα κορονοϊού στο Νήσος Μύκονος  μέσω του χρήστη ,IkariakiRadio,Ikaria 
21," Στην Αμφιλοχία δεν έχουμε κρούσμα,γιατί και να έχουμε θα μας πιάσει ντροπή να το πούμε γιατί τι θα πει ο κόσμος και θα κυκλ…",yw30ffTI7fjyupB,
22," Στην Αμφιλοχία δεν έχουμε κρούσμα,γιατί και να έχουμε θα μας πιάσει ντροπή να το πούμε γιατί τι θα πει ο κόσμος και θα κυκλ…",OlgaKoum,Ελληνικό Φαρ Ουέστ(Αγρίνιο)
23,Για 5η διαδοχική ημέρα χωρίς νέο κρούσμα τοπικής μετάδοσης η Πολιτεία – Πραγματοποιήθηκαν πάνω από 20.000 εξετάσεις… ,NeosKosmos,"Melbourne, Australia"
24, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,arkoudosxxl,
25, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,baboulas_AE,
26, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,ProkopisDoukas,"Athens, Greece"
27, Άντε με το καλό να έρθει κάνα εισαγόμενο κρούσμα της προκοπής,not_least,lost in space
28, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,peristeraRa,i love Greece 
29, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,theiabebeka,Hellas
30,Κρούσμα κορωνοϊού στο Τμήμα Δοκίμων Αστυφυλάκων στο Ρέθυμνο ,MICHAELBERTAKIS,Grecce Creta Chania
31, Άντε με το καλό να έρθει κάνα εισαγόμενο κρούσμα της προκοπής,Iokasti_u,
32,Covid-19: Νέο κρούσμα σε σχολείο της Ρόδου και σε δημοτικές υπηρεσίες  #ΚΟΡΩΝΟΪΌΣ #ΤΟΠΙΚΑ ,ParaponaRodou,Rhodes Greece
33,Ενας χρόνος από το πρώτο κρούσμα στην Ευρώπη και η Ελλάδα ασφυκτιά με την οικονομία να χάνει 100 εκατ.ευρώ κάθε μέρ… ,pronewsgr,
34, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,Bati_Goal77,Saitama 2006
35, Παντως το #lockdown εχει κυριολεκτικα εξαφανισει την γριπη.Μεχρι 14/2 και δεν έχει καταγραφεί κανένα σοβαρόκρούσμα ή…,SPothitos,PIRAEUS
36, Άντε με το καλό να έρθει κάνα εισαγόμενο κρούσμα της προκοπής,alkinoi_mia,Αλμοδοβαροχώρα Καζαντζακούπολη
37, Άντε με το καλό να έρθει κάνα εισαγόμενο κρούσμα της προκοπής,ChrisProphet13,Betelgeuse
