,text,user,location
0,Ουρικό οξύ:Ποια συμπτώματα δείχνουν ότι είναι αυξημένο  ,OrganicLife_gr,Greece Ελλάδα
1," Θέλετε να μου πείτε για πιο λόγο ενώ νιώθετε καλά,χωρις συμπτώματα,στήνεστε στην ουρά  ώρες για να κάνετε #rapidtest?1.…",dDwAgwwjct1p3Tf,
2,Με κορονοϊό διαγνώστηκε δικηγόρος της Χαλκίδας – Χρήστος Θεοφίλης: Δεν έχω συμπτώματα και δεν γνωρίζω πως κόλλησα τ… ,Dikastiko_gr,"Attiki, Greece"
3, Από τώρα εμφανίσατε συμπτώματα πρωταθληματικης στέρησης; έχετε ακόμα σαράντα χρόνια τουλάχιστον,Wertyuioplkhbgx,
4,(Υποθυρεοειδισμός: Συμπτώματα και πώς επηρεάζεται από τη διατροφή) -  ,sierafm,siatista kozani greece
5," Σπυρο το λέω για το καλό σου, όταν αυξάνεται τα τεστ δεν αυξάνονται τα κρουσματα αναλογικά.Αν γίνουν… ",CapitanoZor,
6,"(Νόσος Καβασάκι: Συμπτώματα, αιτίες, και θεραπεία) -  ",sierafm,siatista kozani greece
7,Με συμπτώματα δηλητηρίασης ,Thes_Portal,Θεσσαλονίκη
8," Δεν συμφωνώ, θέλω να ξέρω εφόσον έχω τα συμπτώματα για να προφυλάξω τις ευάλωτες επαφές μου κυρίως.",marilier1,
9," Θέλετε να μου πείτε για πιο λόγο ενώ νιώθετε καλά,χωρις συμπτώματα,στήνεστε στην ουρά  ώρες για να κάνετε #rapidtest?1.…",JimarasG7,
10,Χαμηλή πίεση:  Συμπτώματα και καταστάσεις που οδηγούν στην μείωση της αρτηριακής πίεσης  –Τι να τρώτε για να ξεπερά… ,newsitamea,
11, Παιρνω την κοπελα αγκαλια και τρεμει την φιλαω και τα χειλη της ηταν καυτα την κοιταω στα ματια και την βλεπω να δακρυζει…,nnatouhionia,Greece
12,Ανεπάρκεια βιταμίνης Β12: Συμπτώματα και προβλήματα υγείας μπορεί να προκαλέσει η έλλειψή της- τι πρέπει να τρώτε γ… ,newsitamea,
13, Παιρνω την κοπελα αγκαλια και τρεμει την φιλαω και τα χειλη της ηταν καυτα την κοιταω στα ματια και την βλεπω να δακρυζει…,Anthony_Anast,"Θεσσαλονίκη, Ελλάς"
14, Παιρνω την κοπελα αγκαλια και τρεμει την φιλαω και τα χειλη της ηταν καυτα την κοιταω στα ματια και την βλεπω να δακρυζει…,Hercjohn,Ανταρκτική
