,text,user,location,label,Hash words
0,Με κορονοϊό διαγνώστηκε δικηγόρος χαλκίδας – χρήστος θεοφίλης:  έχω συμπτώματα γνωρίζω κόλλησα τ…,Dikastiko_gr,"Attiki, Greece",1,No hashtags
1," συμφωνώ, θέλω ξέρω εφόσον έχω συμπτώματα προφυλάξω ευάλωτες επαφές κυρίως.",marilier1,,1,No hashtags
2,Α' γυμνασίου. κόλλησαν εβδομάδα έκλεισαν σχολεία (πριν χιονιά). ευτυχώς όλα παιδιά περν…,Kiriaki03664489,athens,1,No hashtags
3,"""είχα ελπίδα ότι επειδή είχα κάνει 1η δόση εμβολίου συμπτώματα ήταν ήπια. και έτσι έγινε.το εμβόλιο ό…",SpecialReportGR,,1,No hashtags
4,μπορει παραπάνω γιατί πολλοί είχαν συμπτώματα έκαναν τε…,GFakas,"Θεσσαλονίκη, Ελλάς",1,No hashtags
5,"περαστικά φιλαράκι, πάντως πολλά rapid test πολλούς γνωστούς βγήκαν θετικά, έκαναν μοριακ…",P_Aristotelis,,1,No hashtags
6,έχεις συμπτώματα ή απλά βγήκες θετικός ?,j_katsaros,just landed,1,No hashtags
7,"γενέθλια πανδημία είναι όταν ανεβάζεις ""38 σήμερα"" στέλνει άλλος ευχή ""περαστικά κούκλα, εύχομαι έχεις α…",pantazopoulouel,"Σπάρτη, Ελλάς",1,No hashtags
8,"Ο fausto gresini πέθανε ηλικία 60 ετών, δίμηνη νοσηλειά βαριά συμπτώματα covid-19.#motogp…",4TroxoiGreece,Greece,1,No hashtags
9,πάτρα: στο νοσοκομείο ρίου βρέφος 22 ημερών θετικό κορονοϊό: στο γενικό πανεπιστημιακό νοσοκομείο πατρών μεταφέρ…,2jkeg18On2y4aqw,Αμαλιαδα Ηλείας,1,No hashtags
10,και αρκετούς γνωστούς ίδια. κανείς ξέρει πότε φύγουν συμπτώματα.  γ…,vpap_Athens,Αθήνα,1,No hashtags
11,πάτρα: στο νοσοκομείο ρίου βρέφος 22 ημερών θετικό κορονοϊό: στο γενικό πανεπιστημιακό νοσοκομείο πατρών μ…,IlidakamposG,ΑΜΑΛΙΑΔΑ ΗΛΕΙΑΣ,1,No hashtags
12,πονοκέφαλος συνάχι είναι συμπτώματα κόβιντ ;;;*έχω,penelopetriv,παντου !,1,No hashtags
13,πονοκέφαλος συνάχι είναι συμπτώματα κόβιντ ;;;*έχω,Don_Gourounis,Greece,1,No hashtags
14,πονοκέφαλος συνάχι είναι συμπτώματα κόβιντ ;;;*έχω,fournokonti,φτάσατε στον προορισμό σας ,1,No hashtags
15,πονοκέφαλος συνάχι είναι συμπτώματα κόβιντ ;;;*έχω,6YgoxpuVOEVRkZv,Αθηνα  ( παρω D ),1,No hashtags
16,και γιος ίδια συμπτώματα,zoigkatsiou,,1,No hashtags
17,γρήγορη ανησυχείς. άλλος είχε ίδια συμπτώματα ,Iwanna2212,,1,No hashtags
18,γιωτα συμπτωματα;,HadjisAU,Cyprus,1,No hashtags
19,Η διασπορά μπορούσε περιοριστεί μόνο ιχνηλάτιση. ξέρω κρούσμα εοδυ μόνο ρώτησε πού δουλεύε…,Strumfitina,Greece,1,No hashtags
20,έχεις πυρετό? άλλα συμπτώματα?,Rantanp49061536,,1,No hashtags
21,nah έχω ίδια συμπτώματα,ohzeff,,1,No hashtags
22,πάντως εμένα μ'αρεσει κάπως είμαστε συγχρονισμένες έχουμε ίδια συμπτώματα:///,AmjustStella,"Σέρρες, Θεσσαλονίκη, Ελλάς",1,No hashtags
23,Α' γυμνασίου. κόλλησαν εβδομάδα έκλεισαν σχολεία (πριν χιονιά). ευτυχώς όλα παιδιά…,the_good_76,,1,No hashtags
